subject,grade,major,chapterTitle,chapterNo,topicTitle,topicNo,pageStart,pageEnd
زیست‌شناسی,دهم,تجربی,دنیای زنده,1,زیست‌شناسی چیست؟,1,1,6
زیست‌شناسی,دهم,تجربی,دنیای زنده,1,گستره حیات,2,7,10
زیست‌شناسی,دهم,تجربی,دنیای زنده,1,یاخته و بافت در بدن انسان,3,11,16
زیست‌شناسی,دهم,تجربی,گوارش و جذب مواد,2,ساختار و عملکرد لوله گوارش,1,17,24
زیست‌شناسی,دهم,تجربی,گوارش و جذب مواد,2,جذب مواد و تنظیم فعالیت دستگاه گوارش,2,25,29
زیست‌شناسی,دهم,تجربی,گوارش و جذب مواد,2,تنوع گوارش در جانداران,3,30,32
زیست‌شناسی,دهم,تجربی,تبادلات گازی,3,سازوکار دستگاه تنفس در انسان,1,33,39
زیست‌شناسی,دهم,تجربی,تبادلات گازی,3,تهویه ششی,2,40,44
زیست‌شناسی,دهم,تجربی,تبادلات گازی,3,تنوع تبادلات گازی,3,45,46
زیست‌شناسی,دهم,تجربی,گردش مواد در بدن,4,قلب,1,47,54
زیست‌شناسی,دهم,تجربی,گردش مواد در بدن,4,رگ‌ها,2,55,60
زیست‌شناسی,دهم,تجربی,گردش مواد در بدن,4,خون,3,61,64
زیست‌شناسی,دهم,تجربی,گردش مواد در بدن,4,تنوع گردش مواد در جانداران,4,65,68
زیست‌شناسی,دهم,تجربی,تنظیم اسمزی و دفع مواد زائد,5,هم‌ایستایی و کلیه‌ها,1,69,72
زیست‌شناسی,دهم,تجربی,تنظیم اسمزی و دفع مواد زائد,5,تشکیل ادرار و تخلیه آن,2,73,75
زیست‌شناسی,دهم,تجربی,تنظیم اسمزی و دفع مواد زائد,5,تنوع دفع و تنظیم اسمزی در جانداران,3,76,78
زیست‌شناسی,دهم,تجربی,از یاخته تا گیاه,6,ویژگی‌های یاخته گیاهی,1,79,85
زیست‌شناسی,دهم,تجربی,از یاخته تا گیاه,6,سامانه بافتی,2,86,89
زیست‌شناسی,دهم,تجربی,از یاخته تا گیاه,6,ساختار گیاهان,3,90,96
زیست‌شناسی,دهم,تجربی,جذب و انتقال مواد در گیاهان,7,تغذیه گیاهی,1,97,101
زیست‌شناسی,دهم,تجربی,جذب و انتقال مواد در گیاهان,7,جانداران مؤثر در تغذیه گیاهی,2,102,104
زیست‌شناسی,دهم,تجربی,جذب و انتقال مواد در گیاهان,7,انتقال مواد در گیاهان,3,105,111
زیست‌شناسی,یازدهم,تجربی,تنظیم عصبی,1,یاخته‌های بافت عصبی,1,1,8
زیست‌شناسی,یازدهم,تجربی,تنظیم عصبی,1,ساختار دستگاه عصبی,2,9,18
زیست‌شناسی,یازدهم,تجربی,حواس,2,گیرنده‌های حسی,1,19,22
زیست‌شناسی,یازدهم,تجربی,حواس,2,حواس ویژه,2,23,32
زیست‌شناسی,یازدهم,تجربی,حواس,2,گیرنده‌های حسی جانوران,3,33,36
زیست‌شناسی,یازدهم,تجربی,دستگاه حرکتی,3,استخوان‌ها و اسکلت,1,37,44
زیست‌شناسی,یازدهم,تجربی,دستگاه حرکتی,3,ماهیچه و حرکت,2,45,52
زیست‌شناسی,یازدهم,تجربی,تنظیم شیمیایی,4,ارتباط شیمیایی,1,53,55
زیست‌شناسی,یازدهم,تجربی,تنظیم شیمیایی,4,غده‌های درون‌ریز,2,56,62
زیست‌شناسی,یازدهم,تجربی,ایمنی,5,نخستین خط دفاعی: ورود ممنوع,1,63,65
زیست‌شناسی,یازدهم,تجربی,ایمنی,5,دومین خط دفاعی: واکنش‌های عمومی اما سریع,2,66,71
زیست‌شناسی,یازدهم,تجربی,ایمنی,5,سومین خط دفاعی: دفاع اختصاصی,3,72,78
زیست‌شناسی,یازدهم,تجربی,تقسیم یاخته,6,فامتن (کروموزوم),1,79,83
زیست‌شناسی,یازدهم,تجربی,تقسیم یاخته,6,رشتمان (میتوز),2,84,91
زیست‌شناسی,یازدهم,تجربی,تقسیم یاخته,6,کاستمان (میوز) و تولید مثل جنسی,3,92,96
زیست‌شناسی,یازدهم,تجربی,تولید مثل,7,دستگاه تولید مثل در مرد,1,97,101
زیست‌شناسی,یازدهم,تجربی,تولید مثل,7,دستگاه تولید مثل در زن,2,102,107
زیست‌شناسی,یازدهم,تجربی,تولید مثل,7,رشد و نمو جنین,3,108,114
زیست‌شناسی,یازدهم,تجربی,تولید مثل,7,تولید مثل در جانوران,4,115,118
زیست‌شناسی,یازدهم,تجربی,تولید مثل نهان‌دانگان,8,تولید مثل غیر جنسی,1,119,123
