subject,grade,major,chapterTitle,chapterNo,topicTitle,topicNo,pageStart,pageEnd
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,آفرینش کیهان,1,10,10
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,فرایند آفرینش جهان,2,10,10
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,تشکیل عناصر,3,11,12
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,کهکشان راه شیری,4,13,13
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,سامانه خورشیدی,5,14,14
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,تکوین زمین و آغاز زندگی در آن,6,14,15
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,سن زمین,7,16,18
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,زمان در زمین شناسی,8,19,19
زمین‌شناسی,یازدهم,تجربی,آفرینش کیهان و تکوین زمین,1,تغییرات آب و هوایی,9,20,22
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,منابع معدنی در زندگی ما,1,24,24
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,غلظت عناصر در پوسته زمین,2,24,24
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,کانی‌های سیلیکاتی,3,25,26
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,سری واکنشی بوون,4,27,27
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,کانه,5,28,28
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,کانسنگ,6,28,28
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,طبقه بندی کانسنگ‌ها,7,29,30
زمین‌شناسی,یازدهم,تجربی,منابع معدنی و ذخایر انرژی، زیربنای تمدن و توسعه,2,اکتشاف معدن,8,31,31
