نام درس,پایه,رشته,نوع ارزیابی,شماره فصل,نام فصل,شروع صفحه فصل,پایان صفحه فصل,شماره گفتار,نام گفتار,شروع صفحه گفتار,پایان صفحه گفتار,رنگ درس,ترتیب درس,فعال؟,یادداشت
زیست‌شناسی 1,دهم,تجربی,هر دو,1,دنیای زنده,1,16,1,زیست‌شناسی چیست؟,1,6,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,1,دنیای زنده,1,16,2,گستره حیات,7,10,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,1,دنیای زنده,1,16,3,یاخته و بافت در بدن انسان,11,16,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,2,گوارش و جذب مواد,17,32,1,ساختار و عملکرد لوله گوارش,17,24,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,2,گوارش و جذب مواد,17,32,2,جذب مواد و تنظیم فعالیت دستگاه گوارش,25,29,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,2,گوارش و جذب مواد,17,32,3,تنوع گوارش در جانداران,30,32,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,3,تبادلات گازی,33,46,1,سازوکار دستگاه تنفس در انسان,33,39,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,3,تبادلات گازی,33,46,2,تهویه ششی,40,44,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,3,تبادلات گازی,33,46,3,تنوع تبادلات گازی,45,46,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,4,گردش مواد در بدن,47,68,1,قلب,47,54,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,4,گردش مواد در بدن,47,68,2,رگ‌ها,55,60,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,4,گردش مواد در بدن,47,68,3,خون,61,64,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,4,گردش مواد در بدن,47,68,4,تنوع گردش مواد در جانداران,65,68,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,5,تنظیم اسمزی و دفع مواد زائد,69,78,1,هم‌ایستایی و کلیه‌ها,69,72,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,5,تنظیم اسمزی و دفع مواد زائد,69,78,2,تشکیل ادرار و تخلیه آن,73,75,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,5,تنظیم اسمزی و دفع مواد زائد,69,78,3,تنوع دفع و تنظیم اسمزی در جانداران,76,78,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,6,از یاخته تا گیاه,79,96,1,ویژگی‌های یاخته گیاهی,79,85,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,6,از یاخته تا گیاه,79,96,2,سامانه بافتی,86,89,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,6,از یاخته تا گیاه,79,96,3,ساختار گیاهان,90,96,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,7,جذب و انتقال مواد در گیاهان,97,111,1,تغذیه گیاهی,97,101,#4CAF50,1,TRUE,
زیست‌شناسی 1,دهم,تجربی,هر دو,7,جذب و انتقال مواد در گیاهان,97,111,2,جانداران مؤثر در تغذیه گیاهی,102,104,#4CAF50,1,TRUE,
